"category","title","content","tags"
"Trauma & First Aid","Performing Cardiopulmonary Resuscitation (CPR)","Ensure scene safety and check responsiveness using shout-tap-shout. If unresponsive and not breathing or only gasping, Kneel beside the person on a firm, flat surface. Place the heel of one hand in the center of the chest, with the other hand on top, interlacing the fingers. Position shoulders directly over the hands and lock the elbows. Perform chest compressions at a rate of 100 to 120 compressions per minute, pushing to a depth of at least 2 inches for adults. Perform cycles of 30 compressions followed by 2 rescue breaths if trained, otherwise continue hands-only compressions without interruption until the person shows clear recovery signs or the person exhibits obvious signs of life.","CPR, heart attack, cardiac arrest, unbreathing, chest compressions, unresponsive, pulse, resuscitation, flatline"
"Trauma & First Aid","Controlling Severe Hemorrhage with a Tourniquet","Identify life-threatening bleeding characterized by continuous flowing, spurting, or a volume exceeding half a soda can. Place the windlass rod tourniquet 2 to 3 inches above the wound, ensuring it is positioned between the wound and the heart. Route the strap through the buckle and pull the free end as tightly as possible around the limb. Twist the windlass rod continuously until all bleeding completely stops. Clip the rod into the locking mechanism to prevent untwisting. Note the exact time of application. Never loosen or remove a tourniquet once applied; this must only be done by a medical professional. Warn the patient that application will cause severe pain.","bleeding, hemorrhage, blood loss, tourniquet, cut, artery, spurting, wound, amputation, limb"
"Trauma & First Aid","Treating Venomous Snake and Funnel-Web Spider Bites","Implement the Pressure Immobilisation Technique (PIT) immediately to halt lymphatic flow. Do not wash the bite area or remove clothing. Keep the patient completely still and lying down. Apply a broad elasticized bandage (10-15cm wide) directly over the bite site. Apply a second firm bandage starting at the distal end of the limb (fingers or toes) and wrapping proximally up to the shoulder or hip. The bandage must be as tight as one applied for a sprained ankle; you should not be able to easily slide a finger beneath it. Apply a rigid splint to the limb to immobilize all joints on either side of the bite. Keep the patient immobilized and await emergency transport to a facility with antivenom capabilities.","snake, bite, fang, venom, funnel-web, spider, poison, PIT, immobilize, lymphatic, swelling"
"Trauma & First Aid","Treating Redback Spider Bites and Minor Envenomation","Do not use the Pressure Immobilisation Technique for Redback spider bites, as restricting circulation will exacerbate severe localized tissue pain and damage. For these bites, wash the area gently with soap and water, apply a cold compress or ice pack wrapped in a cloth directly to the bite site for periods of 15 minutes to relieve pain. Keep the patient calm and seek medical evaluation, as Redback bites require symptomatic management and potential antivenom administration based on pain severity.","redback, spider, bite, pain, ice, cold compress, minor sting, swelling, venom"
"Trauma & First Aid","Immobilizing Fractures and Dislocations","Treat any suspected fracture, dislocation, or severe sprain as a fracture. Do not attempt to force a broken or dislocated bone back into its anatomical position, as this can sever nerves and blood vessels. Ask the patient to remain entirely still. Place a padded, rigid splint along the injured limb. Secure the splint by passing broad bandages above and below the fracture site, leaving a 5-centimeter gap directly over the break to prevent localized pressure. Check the extremities (fingers or toes) every 15 minutes for signs of circulation loss, such as pallor or coldness, and loosen bandages slightly if circulation is impaired.","broken bone, fracture, snapped, dislocation, joint, splint, immobilize, sprain, limb, trauma"
"Trauma & First Aid","Recognizing and Responding to Stroke Symptoms","A stroke is an interruption of blood flow to the brain requiring immediate intervention. Utilize the FAST protocol for recognition: Face (ask the person to smile, check for unilateral drooping), Arms (ask the person to raise both arms, check for downward drift), Speech (ask the person to repeat a simple phrase, check for slurred or strange speech), Time (if any of these signs are observed, note the time the symptoms first appeared). Keep the patient calm, do not give them anything to eat or drink, and monitor airway patency .","stroke, FAST, face drooping, slurred speech, brain, numb arm, TIA, neurological"
"Trauma & First Aid","Treating Third-Degree Burns and Thermal Injuries","Remove the patient from the heat source immediately. For severe or third-degree burns (charred, blackened, or white waxy skin), do not immerse large severe burns in cold water, as this can trigger hypothermia and shock. Cool the burn gently with cool (not freezing) running water for at least 20 minutes if the burn is localized. Remove constricting clothing or jewelry near the site before swelling occurs, but do not attempt to peel off clothing that has melted into the skin. Cover the burn loosely with a dry, sterile, non-adhesive dressing or a clean cloth to prevent infection. Monitor continuously for signs of physiological shock and maintain the patient's airway.","burn, fire, thermal, third-degree, charred, blister, boiling water, heat, skin damage, scald"
"Trauma & First Aid","Treating Severe Hypothermia","Hypothermia occurs when the core body temperature drops dangerously low. start immediate warming actions and monitor closely. Move the individual to a warm, dry environment and carefully remove all wet clothing. Dry the skin and wrap the patient in dry blankets, ensuring the head and neck are covered to prevent further heat loss. You must warm the core of the body first (chest, neck, head, and groin) using wrapped warm water bottles or chemical heat packs. Do not warm the extremities (arms and legs) first, and do not immerse the patient in warm water, as driving cold blood from the limbs back to the heart can cause fatal cardiac arrhythmias. If the patient is fully conscious, offer warm, sweet, non-caffeinated liquids.","hypothermia, freezing, cold, shivering, exposure, core temperature, ice, snow, unresponsive"
"Trauma & First Aid","Treating Frostbite Tissue Damage","Move the patient to a warm environment. Handle frostbitten areas with extreme gentleness; never rub or massage the frozen tissue, as ice crystals within the cells will cause severe structural damage to the flesh. Remove wet clothing and constricting jewelry. Submerge the affected area in warm water (100 to 105 degrees Fahrenheit) for 20 to 30 minutes until the skin becomes red and feels warm to the touch. Loosely bandage the area with dry, sterile dressings, placing cotton or gauze between any affected fingers or toes to prevent them from fusing. Do not pop any blisters that form, and ensure the tissue is strictly protected from refreezing.","frostbite, frozen skin, ice, black skin, waxy, fingers, toes, cold injury, tissue damage"
"Trauma & First Aid","Differentiating and Treating Heat Stroke","Heat stroke is a critical failure of the body's thermoregulatory system. Symptoms include hot, red skin (which may be dry or moist), altered mental status, confusion, seizures, or unresponsiveness, alongside a rapid and weak pulse. Move the patient to a cool environment and initiate aggressive, rapid cooling. Strip excess clothing and immerse the patient in cold water up to the neck if possible, or douse them with cold water and apply ice packs to the groin, armpits, and neck while fanning them vigorously. Do not force liquids if the patient is experiencing an altered mental state or cannot swallow safely.","heat stroke, overheating, hyperthermia, hot skin, confusion, no sweat, sunstroke, fainting, dehydration"
"Trauma & First Aid","Treating Bee, Wasp, and Scorpion Stings","If stung by a bee, remove the stinger by sliding or scraping a fingernail across it; never squeeze the stinger or use tweezers. Wash the site with soap and water, apply a cold pack to reduce swelling, and monitor the person closely for signs of a severe allergic reaction or anaphylaxis. For scorpion stings, clean the wound with mild soap and water, apply a cool compress, and rest the affected limb in a supportive position. Do not submerge the scorpion sting area in ice water.","bee, wasp, scorpion, sting, stinger, scrape, cold pack, swelling, allergic, anaphylaxis"
"Trauma & First Aid","Removing Ticks and Preventing Tick-Borne Illness","Use fine-tipped tweezers to grab the tick firmly near its mouth and as close to the skin as possible. Pull the tick's body steadily upward and away from the skin without jerking or twisting. After removing the tick, wash the area thoroughly with soap and water. Kill the tick by putting it in alcohol.","tick, bite, tweezers, lyme, embedded, pull, tick removal"
"Trauma & First Aid","First Aid for Crush Injuries Under Wreckage","If a person is trapped under heavy wreckage, remove all crushing forces as soon as possible, provided it is physically possible and safe for you to do so. Control any external bleeding, but do not routinely apply an arterial tourniquet before removing the crushing force unless there is actual or suspected life-threatening bleeding. A person with a crush injury might not complain of pain and may show no external signs of trauma. However, prolonged pressure disrupts the body's chemistry and can result in kidney and heart failure once the weight is removed. Treat them for shock, keep them warm to prevent hypothermia, and constantly re-check their condition for any deterioration while awaiting rescue.","crush, wreckage, trapped, rubble, debris, heavy weight, crush syndrome, bleeding, shock"
"Natural Disasters & Environmental Threats","Earthquake Indoor Survival Protocol","Execute the Drop, Cover, and Hold On maneuver immediately. Do not attempt to run outside during the shaking. Drop to your hands and knees to prevent being knocked over by violent tremors. Take cover under a sturdy table or desk to protect your head and neck from falling debris. Hold on to the furniture leg with one hand and be prepared to move with the shelter if it shifts. If no furniture is available, crawl to an interior wall away from windows, bend over to protect vital organs, and clasp both hands behind your neck. Expect strong aftershocks and remain sheltered until the shaking completely stops.","earthquake, tremor, shaking, building collapse, seismic, rubble, drop cover hold, aftershock, ground moving"
"Natural Disasters & Environmental Threats","Navigating Flash Floods and Inundation","Obey the 'Turn Around Don't Drown' protocol. Never attempt to drive or walk through moving floodwaters. As little as 6 inches of fast-moving water can knock an adult off their feet, and merely 12 inches of water is sufficient to float and sweep away a small SUV. If you encounter a flooded roadway, reverse direction and seek higher ground. If your vehicle stalls in rapidly rising water and water is not actively flowing over the doors, stay inside; if water breaches the cabin, abandon the vehicle and immediately seek the highest possible ground or climb onto the roof. Avoid contact with floodwater, which contains sewage, chemical contaminants, and potentially live electrical currents.","flood, flash flood, rising water, swept away, drowning, submerged, vehicle trapped, current, river"
"Natural Disasters & Environmental Threats","Property Defense and Sandbagging for Floods","To construct a barrier against floodwater, fill hessian bags with sand (never dirt, which turns to mud) to a maximum of two-thirds capacity. Do not tie the bags closed. Lay the sandbags like brickwork, staggering the rows so vertical joints do not align. Flatten the unfilled flap of the bag and lay the next sandbag directly on top of it, tucking the flap under the final bag at the end of each row. Build the wall at least as high as the expected flood level, and lay plastic sheeting underneath the bottom layer to prevent seepage. Place additional sandbags inside the home directly over drains, showers, and toilets to prevent the backflow of contaminated sewer water into the structure.","flood prep, sandbagging, water barrier, rising water, property protection, seepage, backflow, sewer"
"Natural Disasters & Environmental Threats","Hurricane and Tornado Sheltering Procedures","Evacuate immediately if ordered by authorities. If sheltering in place during a hurricane or tornado, stay indoors and completely away from all windows and glass doors. Move to a designated safe room, storm shelter, or a windowless interior room (such as a bathroom or closet) on the lowest level of the building. If you do not have a basement, stay on the first floor. Shield your head and neck with your arms, and utilize heavy materials such as mattresses, blankets, or helmets to protect against flying glass and high-velocity debris. Manufactured structures and mobile homes offer zero protection from tornadic winds; you must abandon them for a sturdy building prior to impact.","hurricane, tornado, cyclone, high wind, shelter, basement, flying debris, storm, funnel cloud, roof ripped"
"Natural Disasters & Environmental Threats","Bushfire Pre-Impact Property Defense","Once a bushfire is approaching, put on heavy, non-synthetic protective clothing (thick cotton drill, denim, or wool) covering the entire body to protect against lethal radiant heat and embers. Turn off gas mains and move highly flammable materials away from the house. Block drainpipes with socks full of sand and fill all gutters with water. Fill bathtubs, sinks, and buckets internally to establish a manual water reserve. Confine all pets to a single room. Soak heavy towels and rugs in water and lay them across external doorways to prevent smoke and ember ingress. Move all external hoses and firefighting pumps inside so they do not melt during the fire front impact.","bushfire, wildfire, fire front, embers, property defense, gutters, radiant heat, evacuation, burning"
"Natural Disasters & Environmental Threats","Bushfire Impact and Post-Impact Survival","As the fire front makes direct contact with the property, take shelter inside a room located on the opposite side of the house from the approaching fire. Ensure this room has at least two clear exits. Remain inside until the extreme radiant heat of the front passes (typically 5 to 15 minutes). Continuously patrol the interior of the house, placing a ladder near the access hatch to check the roof cavity for sparks and ember ignition. Once the front has passed, exit the house wearing protective clothing to extinguish spot fires on decks, window frames, and under-floor areas. Continue patrolling the property for several hours, as smoldering embers frequently ignite secondary structural fires.","bushfire impact, fire front, trapped in fire, embers, roof fire, radiant heat, spot fire, survival"
"Natural Disasters & Environmental Threats","Managing Smoke Inhalation and Air Quality","During severe bushfires or urban conflagrations, smoke inhalation poses a critical asphyxiation and toxicological threat. Stay indoors and ensure all doors, windows, and ventilation intakes are sealed. Turn off air conditioning units that draw air from the outside. If you must be outside or if smoke breaches the structure, cover your nose and mouth with an N95 respirator mask or a thick, dampened, non-synthetic cloth to filter out particulate matter. Stay as close to the floor as possible when moving through smoke-filled environments, as toxic gases and heated air rise, leaving a localized layer of breathable oxygen near the ground.","smoke, inhalation, bushfire smoke, air quality, asphyxiation, choking, mask, particulate, toxic air, breathing"
